,UNITID,OPEID,OPEID6,SCH_DEG,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCUGPROF,CCSIZSET,RELAFFIL,PCIP51,UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_2MOR,UGDS_UNKN,UG_WHITENH,UG_BLACKNH,UG_HISPOLD,PPTUG_EF,CURROPER,NPT4_PRIV,NPT41_PRIV,NPT4_048_PRIV,NPT4_3075_PRIV,NUM4_PRIV,NUM41_PRIV,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTPELL,C150_L4,C150_L4_POOLED,POOLYRS,D150_L4,D150_L4_POOLED,POOLYRS200,PCTFLOAN,UG25ABV,CDR2,CDR3,D100_L4,DTRANS_L4,ICLEVEL,UGDS_MEN,UGDS_WOMEN,CDR3_DENOM,CDR2_DENOM
6314,457208,2559406,25594,1.0,0,10,1,1,3,6,8,21.0,38.41772,-121.391081,-2.0,-2.0,-2.0,-2.0,0.7705,80.0,,0.2125,0.3125,0.175,0.1,0.025,0.025,0.1375,,,,0.0,1,24539.0,23683.0,24408.0,27533.0,63.0,49.0,,,,3403.0,2534.0,,,0.9606,0.752,0.79037554585152,2.0,125.0,229.0,2.0,0.9213,0.6071,0.083,0.157,125.0,125.0,3,0.6625,0.3375,1476.0,1485.0
6315,457226,4140500,41405,3.0,1,1,3,3,2,6,8,11.0,32.81491,-117.181071,24.0,5.0,6.0,99.0,0.0,34.0,,0.4118,0.0588,0.2059,0.0294,0.0294,0.0588,0.2059,,,,0.4118,1,,,,,,,,9250.0,9250.0,4590.0,5942.0,,,0.3448,,,,,,,0.2069,0.9828,,,,,1,0.7941,0.2059,,
6316,457244,4145000,41450,1.0,1,1,1,1,3,6,8,21.0,32.76432,-117.02377,-2.0,-2.0,-2.0,-2.0,0.0,45.0,,0.5333,0.0667,0.2444,0.0444,0.0222,0.0,0.0667,,,,0.2444,1,23727.0,23727.0,23727.0,,22.0,22.0,,,,30001.0,10144.0,,,0.6768,0.8904,0.9073346341463399,2.0,73.0,205.0,2.0,0.7979999999999999,0.6296,0.142,0.095,73.0,73.0,3,0.5556,0.4444,84.0,70.0
6317,457253,4148200,41482,1.0,1,1,1,1,3,6,8,21.0,33.916942999999996,-118.04096100000001,-2.0,-2.0,-2.0,-2.0,0.0,50.0,,0.02,0.02,0.92,0.02,0.02,0.0,0.0,,,,0.88,1,16752.0,16752.0,16752.0,,1.0,1.0,,,,6929.0,2754.0,,,0.7027,0.7143,0.8250225,4.0,7.0,40.0,4.0,0.3784,0.3478,0.0,,7.0,7.0,3,0.04,0.96,,2.0
6318,457271,4155500,41555,,1,1,4,4,2,6,8,11.0,34.06089,-118.29326100000002,24.0,0.0,18.0,80.0,,,,,,,,,,,,,,,1,,,,,,,,,,16241.0,15273.0,,,,,,,,,,,,0.0,,,,1,,,,2.0
6319,457299,4160400,41604,1.0,1,1,1,3,3,6,8,11.0,34.06051,-118.29909099999999,26.0,6.0,6.0,-2.0,1.0,94.0,,0.0532,0.11699999999999999,0.1915,0.617,0.0106,0.0,0.0106,,,,0.3404,1,15203.0,14245.0,14662.0,16620.0,35.0,22.0,,,,13513.0,3310.0,10000.0,,0.5023,,,2.0,,,,0.5302,0.6828,0.0,0.113,,,1,0.2766,0.7234,88.0,36.0
6320,457314,4164400,41644,1.0,1,1,1,1,3,6,8,21.0,33.858365,-118.084414,-2.0,-2.0,-2.0,-2.0,1.0,114.0,,0.0175,0.2193,0.386,0.3158,0.0,0.0175,0.0088,,,,0.0,1,25313.0,25313.0,25313.0,,33.0,33.0,,,,19407.0,2154.0,,,0.6275,0.5068,0.53007710843373,2.0,73.0,83.0,2.0,0.8138,0.5429,0.111,0.095,73.0,73.0,3,0.2982,0.7018,115.0,45.0
6321,457323,4167000,41670,1.0,1,1,1,1,3,6,8,12.0,33.507273,-117.15018400000001,-2.0,-2.0,-2.0,-2.0,0.0,277.0,,0.4368,0.0361,0.3646,0.0108,0.0036,0.14800000000000002,0.0,,,,0.0,1,13434.0,12576.0,12442.0,12995.0,98.0,54.0,,,,11304.0,4934.0,,,0.6699,0.7476,0.746105859375,2.0,103.0,256.0,2.0,0.7084,0.2618,0.083,0.07200000000000001,103.0,103.0,3,0.0614,0.9386,180.0,36.0
6322,457332,4148400,41484,1.0,1,1,1,1,3,9,1,21.0,41.295190000000005,-72.699751,-2.0,-2.0,-2.0,-2.0,0.0,12.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.5,1,12025.0,12025.0,12025.0,,12.0,12.0,,,,9676.0,5654.0,,,0.5333,1.0,0.92592592592592,4.0,7.0,27.0,4.0,1.0,0.4737,0.0,0.086,7.0,7.0,3,0.0833,0.9167,23.0,7.0
6323,457341,4152400,41524,1.0,1,1,1,1,3,9,1,21.0,41.707829,-72.662063,-2.0,-2.0,-2.0,-2.0,0.0,147.0,,0.7891,0.0544,0.0952,0.0,0.0068,0.0408,0.0068,,,,0.1565,1,16804.0,15281.0,14951.0,15393.0,30.0,11.0,,,,8098.0,7557.0,,,0.3529,0.8431,0.8164944954128399,2.0,51.0,109.0,2.0,0.6203,0.2045,0.052000000000000005,0.017,51.0,51.0,3,0.0204,0.9796,56.0,18.0
